# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = /home/jesper/dev/julia/ABDA2021/tmp/bernoulli_2.data.R
# init = 2 (Default)
# random
#   seed = 2667590549
# output
#   file = /home/jesper/dev/julia/ABDA2021/tmp/bernoulli_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.02924
# Diagonal elements of inverse mass matrix:
# 0.414588
-7.98629,1,1.02924,2,3,0,8.55683,0.227654
-8.37128,0.919204,1.02924,1,1,0,8.39194,0.186267
-7.90674,1,1.02924,1,1,0,8.27201,0.239548
-7.65395,1,1.02924,1,3,0,7.85043,0.309464
-7.69315,0.989174,1.02924,1,1,0,7.6936,0.28932
-10.3019,0.499049,1.02924,1,3,0,10.8632,0.660536
-7.76944,1,1.02924,1,3,0,9.51721,0.405115
-7.65436,1,1.02924,2,3,0,7.75667,0.309158
-7.67673,0.993786,1.02924,1,1,0,7.67826,0.296312
-7.83273,0.981559,1.02924,2,3,0,7.84804,0.421143
-7.95399,0.987184,1.02924,2,3,0,7.99763,0.445913
-8.73181,0.774726,1.02924,1,1,0,8.76077,0.545416
-8.01586,1,1.02924,2,3,0,8.54359,0.456733
-9.14833,0.68982,1.02924,1,1,0,9.174,0.582407
-9.83618,0.935182,1.02924,2,3,0,10.2172,0.632217
-11.6615,0.591282,1.02924,1,1,0,12.0709,0.726997
-8.93908,1,1.02924,2,3,0,10.9497,0.564654
-7.67014,0.824472,1.02924,2,3,0,10.0041,0.368291
-7.79692,0.96128,1.02924,1,1,0,7.79751,0.412451
-8.34058,0.838115,1.02924,1,1,0,8.34814,0.502828
-9.85433,0.612752,1.02924,1,1,0,9.92848,0.63339
-8.57487,1,1.02924,2,3,0,9.54599,0.170259
-7.68916,1,1.02924,1,3,0,8.42618,0.290904
-9.52624,0.625716,1.02924,1,3,0,9.86515,0.119076
-7.83535,0.887541,1.02924,1,3,0,10.2376,0.421747
-8.03458,0.937444,1.02924,1,1,0,8.07096,0.459833
-8.9999,0.728457,1.02924,1,1,0,9.03712,0.569971
-7.67197,0.953408,1.02924,2,3,0,9.30617,0.298625
-7.64719,1,1.02924,2,3,0,7.66535,0.351768
-7.64719,0.528575,1.02924,1,3,0,9.45941,0.351768
-7.64719,0.903595,1.02924,1,3,0,8.00942,0.351768
-7.83738,0.9131,1.02924,2,3,0,8.09932,0.422212
-9.19979,0.640763,1.02924,1,1,0,9.1998,0.586554
-8.16447,1,1.02924,2,3,0,8.92404,0.4796
-8.78506,0.81546,1.02924,1,1,0,8.8794,0.550537
-8.39131,1,1.02924,1,1,0,8.84289,0.508951
-7.70875,1,1.02924,1,3,0,8.17412,0.385624
-7.76249,0.983246,1.02924,1,1,0,7.77642,0.403148
-7.76249,0.826834,1.02924,1,1,0,8.16192,0.403148
-7.71421,0.978011,1.02924,2,3,0,7.9269,0.281826
